"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"P22413",3.88026813023308,24.0415499273094,12.1763293545441,2.67916249662005e-05,0.000246824970433294,3.35792846324259,"P22413","P22413"
"P04439;P01893",2.23075094092315,25.53841710893,11.9474163166223,2.97497385235697e-05,0.000271192353278014,3.24704134813213,"P04439;P01893","P04439"
"P16144",1.98351511288602,25.32568533429,11.9053758007311,3.03336590743836e-05,0.000273634882900169,3.22642167867659,"P16144","P16144"
"P15924",-1.94284394361945,22.6172341960445,-11.85177267234,3.10977250839191e-05,0.000277635360027567,3.20001439135492,"P15924","P15924"
"P25815",-6.12203778341416,24.2326811631121,-11.7240502177063,3.30107966346933e-05,0.000291707651894331,3.13656086448305,"P25815","P25815"
"P08133",5.29738888308081,23.8621192680917,11.6803528077161,3.36966633034424e-05,0.000292337983832284,3.11467782096524,"P08133","P08133"
"Q9NQ84",-3.03673467156747,23.1423055980802,-11.6765413680914,3.37572729598481e-05,0.000292337983832284,3.11276486910582,"Q9NQ84","Q9NQ84"
"P98160",2.11658801495104,25.1634642005983,11.6430148820697,3.42959392096857e-05,0.000293919518724457,3.09590860778728,"P98160","P98160"
"Q9UQB8",-2.60487109382666,22.193686372193,-11.6057066887406,3.4907218481954e-05,0.000293919518724457,3.0770887062935,"Q9UQB8","Q9UQB8"
"Q13421",-5.10530255864567,23.5165008623694,-11.6026360050096,3.49580951831629e-05,0.000293919518724457,3.0755367847001,"Q13421","Q13421"
"Q00610;P53675",1.73144016348886,26.5569430942746,11.5757432727713,3.54073912780023e-05,0.000294834623526442,3.06192609257051,"Q00610;P53675","Q00610"
"Q16777;Q6FI13",2.81823866880454,27.8063485914993,11.5225903546382,3.63154239450487e-05,0.000299515782251544,3.03492347710573,"Q16777;Q6FI13","Q16777"
"O75348;O95670",-2.38468405458877,22.7078149542744,-11.3730395081746,3.90200014857354e-05,0.000318786049874027,2.95821875763775,"O75348;O95670","O75348"
"P26022",6.8135380934565,24.9620218659177,11.2380833534156,4.16645863302121e-05,0.000337210577214614,2.88805952451667,"P26022","P26022"
