"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion",65,0.61944051988248,1.93680551632658,1.80776046530189e-05,8.81079650205697e-05,6.18872952085333e-05,69,"tags=28%, list=8%, signal=28%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/821"
"R-HSA-9764265","Regulation of CDH1 Expression and Function",65,0.61944051988248,1.93680551632658,1.80776046530189e-05,8.81079650205697e-05,6.18872952085333e-05,69,"tags=28%, list=8%, signal=28%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/821"
"R-HSA-9764274","Regulation of Expression and Function of Type I Classical Cadherins",65,0.61944051988248,1.93680551632658,1.80776046530189e-05,8.81079650205697e-05,6.18872952085333e-05,69,"tags=28%, list=8%, signal=28%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/821"
"R-HSA-8939211","ESR-mediated signaling",54,0.652630998230851,1.97960354735571,1.90136267526098e-05,9.18426077960883e-05,6.45105193392117e-05,237,"tags=69%, list=27%, signal=54%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/1956/3326/2787/2771/3838/126961/333932/653604/2782/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968/857"
"R-HSA-69620","Cell Cycle Checkpoints",52,0.652678552997055,1.95885504123629,2.21384618687721e-05,0.000105990335141643,7.44479248684371e-05,46,"tags=29%, list=5%, signal=29%","3014/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313"
"R-HSA-3000157","Laminin interactions",13,0.861088471279854,1.91277943825798,2.36700572950428e-05,0.000112328956110686,7.8900190983476e-05,73,"tags=77%, list=8%, signal=72%","80781/3673/3675/3688/3915/3911/3685/3691/3339/3655"
"R-HSA-5625740","RHO GTPases activate PKNs",46,0.673906985175502,1.98037278055901,3.38580034717631e-05,0.000159279825028034,0.000111878620167565,64,"tags=37%, list=7%, signal=36%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-162582","Signal Transduction",265,0.417131991098667,1.5383609010768,3.6472723790021e-05,0.000170101237675874,0.000119479612415586,237,"tags=38%, list=27%, signal=40%","2335/7076/3673/3675/3014/7431/3688/3690/976/7322/5327/3678/3915/2778/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/5054/3911/10409/2316/3685/1213/8338/1211/1956/1969/752/4162/9341/87/6510/3326/3693/7057/10376/5898/389/5908/4904/1072/7094/5705/5361/5528/2152/3913/11140/7846/7415/84790/10383/8829/391/2787/396/10979/5870/387/2771/3838/7414/3912/5216/7531/5518/3925/5880/126961/333932/653604/3187/60/2782/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968/10226/7170/4627/857"
"R-HSA-69278","Cell Cycle, Mitotic",91,0.550258336871542,1.80673254327562,5.96675501027027e-05,0.000275898671842411,0.000193792043068607,231,"tags=49%, list=26%, signal=41%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/3326/203068/10376/4218/5705/5528/7846/84790/10383/10540/5861/81876/7531/5518/3837/126961/333932/653604/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-68886","M Phase",86,0.550111025275929,1.78712254053866,8.2935627408905e-05,0.000380238766340827,0.000267080834028677,231,"tags=50%, list=26%, signal=41%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/203068/10376/5705/5528/7846/84790/10383/10540/5861/81876/7531/5518/3837/126961/333932/653604/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-216083","Integrin cell surface interactions",21,0.768333384200451,1.91109810458326,0.00026323224352571,0.00119043960525764,0.000836168299441595,107,"tags=76%, list=12%, signal=69%","2335/80781/3673/3675/3688/3690/3383/3678/375790/3371/3685/3339/3655/960/3693/7057"
"R-HSA-1640170","Cell Cycle",102,0.506856537261495,1.68905957451649,0.000264053147192083,0.00119043960525764,0.000836168299441595,231,"tags=46%, list=26%, signal=39%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/3326/203068/10376/4218/5705/5528/7846/4869/84790/10383/10540/5861/81876/7531/5518/3837/126961/333932/653604/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-421270","Cell-cell junction organization",70,0.55642673566816,1.75526086145108,0.000318341878852636,0.0014233302186717,0.000999751355074393,78,"tags=27%, list=9%, signal=27%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/821/5817"
"R-HSA-9610379","HCMV Late Events",41,0.609635136619232,1.77257159119778,0.000669074385841302,0.00296696100606676,0.00208400218540733,64,"tags=39%, list=7%, signal=38%","440689/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-202733","Cell surface interactions at the vascular wall",31,0.653349044490379,1.79575699510519,0.000766017453079013,0.00336923123671338,0.00236655798512215,96,"tags=39%, list=11%, signal=36%","2335/3675/4312/3688/3690/3678/481/3685/3655/960/9123/90952"
"R-HSA-373760","L1CAM interactions",32,0.652321815818279,1.79735545768354,0.00091859474522678,0.00400773997715877,0.00281504841279174,151,"tags=50%, list=17%, signal=43%","3673/3688/3690/3678/3915/3685/1213/1211/1956/1808/10376/4478/7846/84790/10383/8829"
"R-HSA-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",141,0.448877635089023,1.5582824162263,0.000929698552729491,0.00402373533621324,0.00282628360029765,237,"tags=47%, list=27%, signal=41%","3014/7431/3688/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/10409/2316/1213/8338/1969/752/4162/9341/87/6510/3326/10376/389/1072/5361/5528/11140/7846/7415/84790/10383/391/396/10979/387/5216/7531/5518/5880/126961/333932/653604/60/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968/10226/7170/4627/857"
