"UNIPROT","Symbol","degree","betweenness","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B","X"
"P62805","H4C8",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C9",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62826","RAN",6,95,"P62826",0.501775249638168,25.1485520587798,1.95567488015462,0.100761468949556,0.181866091758819,-5.65397068072177,"P62826"
"P62873","GNB1",6,6.14855275443511,"P62873;P16520",0.722785871677132,27.5293466246639,3.15691514950633,0.0210233056226192,0.0497436684950498,-4.00040262627584,"P62873;P16520"
"P62993","GRB2",10,45.9329684375512,"P62993",0.34384955984094,20.993169021555,1.33670665036066,0.232143951760301,0.349628977781601,-6.45592120293114,"P62993"
"P67936","TPM4",4,6.29484126984127,"P67936;P07951;CON__Q3SX28;P09493",-0.168809684631039,24.8875134916233,-0.521280657263696,0.621772720890544,0.71889876674394,-7.20986821052582,"P67936;P07951;CON__Q3SX28;P09493"
"P68363","TUBA1B",8,30.2380952380952,"P68363;Q9H853",1.19069343476805,27.5214463614944,6.88925325977486,0.000572096575379966,0.00264938841860455,0.0106639201280956,"P68363;Q9H853"
"P68431","H3C1",60,31.1760393118159,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C10",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C11",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C12",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C2",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
