"UNIPROT","Symbol","logFC","adj.P.Val","degree","betweenness","CDS","rank_base","rank_sd","rank_min","rank_max","robustness_label"
"P28482","MAPK1",0.131577872102902,0.654468952507214,12,142.939253883371,0.165240604355345,54,0.95,52,56,"robust_candidate"
"Q15185","PTGES3",0.498961498046647,0.470752272774601,8,26.1190476190476,0.162915926183631,55,0.73,54,57,"robust_candidate"
"Q14204","DYNC1H1",0.184863940489038,0.488756911015193,10,101.02380952381,0.160069842880499,56,0.7,55,58,"robust_candidate"
"O00159","MYO1C",-0.0673810971478233,0.763934098263432,12,141.297437133652,0.156850580482871,57,0.99,56,59,"robust_candidate"
"Q13813","SPTAN1",0.483220684943696,0.170824112614418,8,1.24166666666667,0.153845704285591,58,0.46,57,59,"robust_candidate"
"O14907","TAX1BP3",-0.914968319307427,0.0121154556552722,2,0,0.152600655874197,59,1.8,54,59,"weight_sensitive_candidate"
"P35613","BSG",0.453520325806487,0.0549877346132674,4,0,0.121466522872591,60,0,60,60,"robust_candidate"
"P30153","PPP2R1A",0.691686750544797,0.0383105738920348,2,0,0.114068276710325,61,0.66,61,63,"robust_candidate"
"P51149","RAB7A",0.297997833210797,0.199740744985599,6,0,0.109773908466247,62,0.45,61,63,"robust_candidate"
"Q15366","PCBP2",0.491318411631759,0.687436296610755,6,0,0.107712479933986,63,0.52,61,63,"robust_candidate"
"O15511","ARPC5",-0.549641408268869,0.315129074224031,4,0,0.102492086202158,64,0,64,64,"robust_candidate"
"P23588","EIF4B",0.574526441233903,0.466113663598838,4,0,0.0985403463323908,65,0.31,65,66,"robust_candidate"
"Q14240","EIF4A2",0.288161805463993,0.645345560609303,6,0.5,0.0941329968490236,66,0.31,65,66,"robust_candidate"
"O00571","DDX3X",0.415603403972018,0.548724292840006,4,0,0.0815262155741373,67,0.44,67,68,"robust_candidate"
"O60610","DIAPH1",-0.0515909629482678,0.913943393471097,8,0,0.080376298204843,68,0.67,67,70,"robust_candidate"
"P67936","TPM4",-0.168809684631039,0.71889876674394,4,6.29484126984127,0.0737496712666727,69,0.39,68,70,"robust_candidate"
"P26368","U2AF2",-0.326217418369012,0.618335529585652,4,0,0.0715177674142549,70,0.39,69,71,"robust_candidate"
"P54652","HSPA2",-0.454695232590478,0.210896570971856,2,0,0.065495591768782,71,0.45,69,71,"robust_candidate"
"Q9Y266","NUDC",-0.0166273068367495,0.97540075271597,4,3.61904761904762,0.0507463271412047,72,0,72,72,"robust_candidate"
"P54725","RAD23A",-0.00389867251994147,0.992709140420354,2,0,0,73,0,73,73,"robust_candidate"
