"","Normal_count","Tumor_count","Pattern"
"P33176;O60282;Q12840",3,3,"Other"
"P34932",3,3,"Other"
"P35221;Q9UI47",3,3,"Other"
"P35222",3,3,"Other"
"P35237",3,3,"Other"
"P35241",3,3,"Other"
"P35268",3,3,"Other"
"P35321",3,0,"Normal_only_3v0"
"P35579;P35749",3,3,"Other"
"P35580",3,0,"Normal_only_3v0"
"P35613",3,3,"Other"
"P35625",0,3,"Tumor_only_3v0"
"P35754",3,3,"Other"
"P36543",2,0,"Other"
"P36578",3,3,"Other"
"P36871",3,3,"Other"
"P36952",3,1,"Other"
"P37235;P84074;P61601",1,3,"Other"
"P37802;Q9UI15",3,3,"Other"
"P37837",3,3,"Other"
"P38606",2,0,"Other"
"P38919",3,2,"Other"
"P39060",0,3,"Tumor_only_3v0"
"P40121",3,3,"Other"
"P40227;Q92526",3,3,"Other"
"P40925",3,3,"Other"
"P40926",3,3,"Other"
"Q2VIR3;P41091",3,3,"Other"
"P41250",3,3,"Other"
"P42685",2,0,"Other"
"P43034",3,2,"Other"
"P43121",0,3,"Tumor_only_3v0"
"P43353;P48448",3,0,"Normal_only_3v0"
"P43487",0,2,"Other"
"P43490",2,3,"Other"
"P45974",3,3,"Other"
"P46108",3,3,"Other"
"P46776",3,2,"Other"
"P46779",2,2,"Other"
"P46781",3,3,"Other"
"P46782",3,3,"Other"
"P46940",3,3,"Other"
"P47756",3,3,"Other"
"P47895",3,0,"Normal_only_3v0"
"P47897",2,0,"Other"
"P48059",2,1,"Other"
"P48163",2,0,"Other"
"P48509",3,3,"Other"
"P48594",3,0,"Normal_only_3v0"
"P48643",2,3,"Other"
"P48960;Q9UHX3",3,3,"Other"
"P49006",3,3,"Other"
"P49189",3,1,"Other"
"P49207",3,2,"Other"
"P49327",3,3,"Other"
"P49368",3,3,"Other"
"P49419",2,0,"Other"
"P49588",3,3,"Other"
"P49720",3,3,"Other"
"P49721",3,0,"Normal_only_3v0"
"P50148",3,3,"Other"
"P50395",3,3,"Other"
